index,brand,part_number,duration_type,duration,lift,lsa,description
166,Howards Cams,HRS-222141-10,adv,277/282,0.563/0.572,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 277/282, Lift .563/.572, Ford, 351W, Each"
167,Howards Cams,HRS-222313-06,adv,291/295,0.624/0.656,,"Camshaft, Mechanical Roller Tappet, Advertised Duration 291/295, Lift .624/.656, Ford, 351W, Each"
168,Howards Cams,HRS-222352-06,adv,281/287,0.549/0.565,,"Camshaft, Mechanical Flat Tappet, Advertised Duration 281/287, Lift .549/.565, Ford, 351W, Each"
169,Howards Cams,HRS-222372-08,adv,285/291,0.560/0.571,,"Camshaft, Mechanical Flat Tappet, Advertised Duration 285/291, Lift .560/.571, Ford, 351W, Each"
170,Howards Cams,HRS-222601-08,adv,282/287,0.572/0.596,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 282/287, Lift .572/.596, Ford, 351W, Each"
171,Howards Cams,HRS-222765-13,adv,270/270,0.496/0.496,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 270/270, Lift .496/.496, Ford, 302 HO/351W, Each"
172,COMP Cams,CCA-35-622-5,unspecified,272/280,0.576/0.592,106,"Camshaft, Mechanical Flat Tappet, Duration 272 Int./280 Exh., Lift 0.576 Int./0.592 Exh., Lobe Separation 106, Ford, 351W, Each"
173,COMP Cams,CCA-35-639-5,adv,242/246,0.541/0.522,,"Camshaft, Mechanical Flat Tappet, Advertised Duration 242/246, Lift .541/.522, Ford, 351W, Each"
174,COMP Cams,CCA-35-640-5,unspecified,290/304,0.576/0.570,106,"Camshaft, Mechanical Flat Tappet, Duration 290 Int./304 Exh., Lift 0.576 Int./0.570 Exh., Lobe Separation 106, Ford, 351W, Each"
175,COMP Cams,CCA-35-832-9,unspecified,292/304,0.704/0.672,106,"Camshaft, Mechanical Roller, Duration 292 Int./304 Exh., Lift 0.704 Int./0.672 Exh., Lobe Separation 106, Ford, 351W, Each"
176,COMP Cams,CCA-31-603-5,adv,295/312,0.512/0.497,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 295/312, Lift .512/.497, Ford, Small Block, Each"
177,COMP Cams,CCA-35-801-9,adv,292/296,0.672/0.672,,"Camshaft, Mechanical Roller Tappet, Advertised Duration 292/296, Lift .672/.672, Ford, 351W, Each"
178,COMP Cams,CCA-35-826-9,unspecified,296/301,0.648/0.648,106,"Camshaft, Mechanical Roller, Duration 296 Int./301 Exh., Lift 0.648 Int./0.648 Exh., Lobe Separation 106, Ford, 351W, Each"
179,COMP Cams,CCA-35-830-9,unspecified,288/296,0.672/0.672,106,"Camshaft, Mechanical Roller, Duration 288 Int./296 Exh., Lift 0.672 Int./0.672 Exh., Lobe Separation 106, Ford, 351W, Each"
180,Melling,MEL-24214,,,,,CAMSHAFT-ENGINE
181,Melling,MEL-24225,,,,,CAMSHAFT-ENGINE
182,Melling,MEL-24227,,,,,CAMSHAFT-ENGINE
183,Melling,MEL-SYB-30,adv,280/293,0.416/0.443,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 280/293, Lift .416/.443, Ford, 302, 351W, Each"
184,COMP Cams,CCA-35-400-8,,,,,"Camshaft, Magnum, Hydraulic Roller Tappet, Ford, Each"
185,COMP Cams,CCA-35-641-5,adv,300/314,0.600/0.593,,"Camshaft, Mechanical Flat Tappet, Advertised Duration 300/314, Lift .600/.593, Ford, 351W, Each"
