index,brand,part_number,duration_type,duration,lift,lsa,description
56,COMP Cams,CCA-31-238-3,adv,262/270,0.493/0.500,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 262/270, Lift .493/.500, Ford, Small Block, Each"
57,Howards Cams,HRS-221275-10,adv,270/278,0.528/0.533,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 270/278, Lift .528/.533, Ford, 302 HO/351W, Each"
58,Summit Racing,SUM-8906,unspecified,232/242,0.587/0.587,110,"Pro SBF Best Hydraulic Roller Cam 6, 232/242 Duration, 110 LSA + 3 Adv. .587/.587 lift 1.6 ratio, .625/.625 lift 1.7 ratio, 3,200-6,700 basic rpm"
59,Howards Cams,HRS-217272-07,adv,318/320,0.528/0.528,,"Camshaft, American Muscle, Mechanical Flat Tappet, Advertised Duration 318/320, Lift .528/.528, Ford, 221, 255, 260, 289, 302, Each"
60,COMP Cams,CCA-35-773-8,adv,292/298,0.621/0.627,,"Camshaft, Mechanical Roller Tappet, Advertised Duration 292/298, Lift .621/.627, Ford, 351W, Each"
61,COMP Cams,CCA-35-324-8,adv,270/276,0.544/0.544,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 270/276, Lift .544/.544, Ford, 5.0L HO, Each"
62,COMP Cams,CCA-35-420-8,adv,270/270,0.533/0.533,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 270/270, Lift .533/.533, Ford, 5.0L HO, Each"
63,COMP Cams,CCA-35-430-8,adv,280/280,0.560/0.560,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 280/280, Lift .560/.560, Ford, 5.0L HO, Each"
64,COMP Cams,CCA-35-560-8,adv,282/294,0.565/0.580,,"Camshaft, Nitrous HP, Hydraulic Roller, Advertised Duration 282/294, Lift .565/.580, Ford, Small Block, Each"
65,Summit Racing,SUM-3602,adv,304/314,0.520/0.542,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 304/314, Lift .520/.542, Ford, Small Block, Each"
66,COMP Cams,CCA-31-601-5,adv,279/296,0.491/0.476,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 279/296, Lift .491/.476, Ford,. Small Block, Kit"
67,Melling,MEL-MC1288,,,,,CAMSHAFT-ENGINE
68,COMP Cams,CCA-35-250-4,adv,284/296,0.541/0.544,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 284/296, Lift .541/.544, Ford, 351W, Each"
69,Summit Racing,SUM-8907,unspecified,236/248,0.587/0.587,110.5,"Pro SBF Best Hydraulic Roller Cam 7, 236/248 Duration, 110.5 LSA + 3.5 Adv. .587/.587 lift 1.6 ratio, .625/.625 lift 1.7 ratio, 3,400-6,900 basic rpm"
70,Howards Cams,HRS-217081-13,adv,288/288,0.460/0.460,,"Camshaft, American Muscle, Hydraulic Flat Tappet, Advertised Duration 288/288, Lift .460/.460, Ford, 221, 255, 260, 289, 302, Each"
71,Melling,MEL-MTF-1,adv,280/289,0.449/0.473,,"Camshaft, Class 1, Hydraulic Flat Tappet, 280/289 Advertised Duration, .449/.473 Lift, Ford, Small Block, Each"
72,Howards Cams,HRS-220021-12,adv,259/267,0.448/0.480,,"Camshaft, Street Force 1, Hydraulic Flat Tappet, Advertised Duration 259/267, Lift .448/.480, Ford, 351W, Each"
